Index,Time,Lane,Type,Note
1,0.000,1,1,
2,0.000,0,1,
3,4.139,0,1,
4,4.352,0,1,
5,4.565,1,1,
6,4.736,1,1,
7,4.907,1,1,
8,5.077,1,1,
9,5.291,1,2,LongStart
10,5.952,1,2,LongEnd
11,9.733,0,2,LongStart
12,10.021,0,2,LongEnd
13,10.213,0,2,LongStart
14,10.405,0,2,LongEnd
15,10.597,0,2,LongStart
16,10.837,0,2,LongEnd
17,10.933,0,2,LongStart
18,11.221,0,2,LongEnd
19,11.461,0,2,LongStart
20,11.653,0,2,LongEnd
21,12.229,1,1,
22,12.517,1,1,
23,12.853,1,1,
24,19.045,1,3,Rush
25,20.869,1,3,Rush
26,21.157,1,3,Rush
27,21.301,1,3,Rush
28,21.589,0,3,Rush
29,21.733,0,3,Rush
30,21.877,0,3,Rush
31,22.117,0,3,Rush
32,22.261,0,3,Rush
33,22.453,0,3,Rush
34,22.597,0,3,Rush
35,23.173,1,2,LongStart
36,23.749,1,2,LongEnd
37,23.941,1,1,
38,24.325,1,2,LongStart
39,25.477,1,2,LongEnd
40,25.621,0,2,LongStart
41,25.813,0,2,LongEnd
42,26.005,0,2,LongStart
43,26.197,0,2,LongEnd
44,26.437,0,2,LongStart
45,26.629,0,2,LongEnd
46,27.349,1,1,
47,27.685,1,2,LongStart
48,27.877,1,2,LongEnd
49,28.117,0,2,LongStart
50,28.357,0,2,LongEnd
51,28.597,0,2,LongStart
52,28.837,0,2,LongEnd
53,29.221,0,2,LongStart
54,29.509,0,2,LongEnd
55,30.133,1,1,
56,30.517,1,1,
57,30.805,1,2,LongStart
58,32.101,1,2,LongEnd
59,34.501,0,2,LongStart
60,34.693,0,2,LongEnd
61,34.885,0,2,LongStart
62,35.125,0,2,LongEnd
63,35.413,0,2,LongStart
64,35.605,0,2,LongEnd
65,138.048,0,2,LongStart
66,138.208,0,2,LongEnd
67,138.928,1,3,Rush
68,139.115,1,1,
69,139.301,1,1,
70,139.488,1,1,
71,139.755,0,1,
72,139.941,0,1,
73,140.181,0,1,
74,140.395,0,2,LongStart
75,141.248,0,2,LongEnd
76,141.515,1,3,Rush
77,141.675,1,3,Rush
78,142.261,1,1,
79,142.448,1,1,
80,144.745,0,1,
