Index,Time,Lane,Type,Note
1,3.179,1,1,
2,3.349,1,1,
3,3.520,1,1,
4,3.648,1,1,
5,3.797,1,1,
6,4.267,1,2,LongStart
7,5.141,1,2,LongEnd
8,7.979,0,1,
9,8.491,0,2,LongStart
10,9.216,0,2,LongEnd
11,14.464,0,1,
12,14.827,0,2,LongStart
13,15.872,0,2,LongEnd
14,16.875,1,1,
15,17.429,1,1,
16,17.792,1,2,LongStart
17,18.624,1,2,LongEnd
18,19.285,1,3,Rush
19,20.757,0,1,
20,20.971,0,2,LongStart
21,21.675,1,2,LongStart
22,21.739,0,2,LongEnd
23,22.528,1,2,LongEnd
24,22.741,0,2,LongStart
25,24.171,0,2,LongEnd
26,24.213,1,2,LongStart
27,24.405,1,2,LongEnd
28,24.747,1,2,LongStart
29,25.237,1,2,LongEnd
30,25.365,0,2,LongStart
31,25.877,0,2,LongEnd
32,26.731,0,2,LongStart
33,27.285,1,2,LongStart
34,27.371,0,2,LongEnd
35,27.883,1,2,LongEnd
36,28.395,0,2,LongStart
37,28.928,0,2,LongEnd
38,29.099,1,2,LongStart
39,29.803,1,2,LongEnd
40,30.165,0,2,LongStart
41,30.784,0,2,LongEnd
42,31.296,1,3,Rush
43,31.979,0,1,
44,32.235,1,3,Rush
45,32.512,1,3,Rush
46,33.984,0,3,Rush
47,34.133,0,3,Rush
48,35.115,0,3,Rush
49,35.435,1,3,Rush
50,35.541,1,3,Rush
51,35.605,1,3,Rush
52,35.712,1,3,Rush
53,36.075,0,2,LongStart
54,36.864,0,2,LongEnd
55,37.312,1,1,
56,37.483,1,1,
57,37.675,1,1,
58,37.845,1,1,
59,38.016,1,2,LongStart
60,38.741,1,2,LongEnd
61,38.997,0,2,LongStart
62,39.787,0,2,LongEnd
63,40.021,1,1,
64,40.171,1,1,
65,40.341,1,2,LongStart
66,41.067,1,2,LongEnd
67,41.301,0,2,LongStart
68,42.091,0,2,LongEnd
69,42.261,1,2,LongStart
70,42.880,1,2,LongEnd
71,43.328,0,2,LongStart
72,44.117,0,2,LongEnd
73,45.056,0,2,LongStart
74,45.248,1,1,
75,45.269,0,2,LongEnd
76,45.419,1,1,
77,45.568,1,1,
78,45.760,1,1,
79,45.867,0,1,
80,46.251,0,1,
81,47.296,0,2,LongStart
82,48.469,0,2,LongEnd
83,49.216,1,2,LongStart
84,49.728,1,2,LongEnd
85,58.411,0,1,
86,58.667,0,1,
87,58.837,0,2,LongStart
88,59.541,0,2,LongEnd
89,59.755,1,2,LongStart
90,59.925,1,2,LongEnd
91,59.947,1,1,
92,60.139,1,2,LongStart
93,61.077,1,2,LongEnd
94,61.269,0,1,
95,61.483,0,1,
96,61.653,1,1,
97,61.824,1,1,
98,61.973,1,1,
99,62.251,1,1,
100,62.507,1,1,
101,62.763,0,1,
102,62.955,0,1,
103,63.147,0,1,
104,64.363,1,3,Rush
105,65.173,0,3,Rush
106,65.600,0,3,Rush
107,66.048,1,1,
108,66.219,1,1,
109,66.389,1,1,
110,66.816,0,2,LongStart
111,67.541,0,2,LongEnd
112,67.968,1,2,LongStart
113,68.523,1,2,LongEnd
114,68.949,0,2,LongStart
115,69.568,0,2,LongEnd
