Index,Time,Lane,Type,Note
1,6.059,0,1,
2,6.379,1,1,
3,6.528,1,1,
4,6.763,1,1,
5,7.296,0,1,
6,7.488,0,1,
7,7.744,0,1,
8,8.128,1,2,LongStart
9,9.003,1,2,LongEnd
10,17.771,1,3,Rush
11,18.453,1,3,Rush
12,18.944,1,3,Rush
13,19.115,1,3,Rush
14,19.328,1,3,Rush
15,19.520,1,3,Rush
16,20.672,1,1,
17,21.333,1,1,
18,21.675,1,1,
19,21.973,1,1,
20,22.528,1,2,LongStart
21,24.384,1,2,LongEnd
22,26.133,1,2,LongStart
23,26.901,1,2,LongEnd
24,27.093,0,1,
25,27.264,0,1,
26,27.477,1,1,
27,27.947,0,1,
28,28.117,1,1,
29,28.779,0,1,
30,28.971,1,1,
31,29.120,1,1,
32,53.955,0,1,
33,54.147,0,1,
34,54.467,1,1,
35,54.616,1,1,
36,54.979,1,1,
37,55.149,1,1,
38,55.341,1,1,
39,55.576,0,1,
40,55.811,0,1,
41,55.981,0,1,
42,57.581,0,1,
43,58.392,0,1,
44,59.544,1,3,Rush
45,59.800,1,3,Rush
46,59.907,1,3,Rush
47,60.589,1,2,LongStart
48,61.315,1,2,LongEnd
49,61.848,1,2,LongStart
50,62.488,1,2,LongEnd
51,63.085,1,2,LongStart
52,63.789,1,2,LongEnd
53,64.387,1,2,LongStart
54,65.048,1,2,LongEnd
55,65.816,1,2,LongStart
56,66.456,1,2,LongEnd
57,67.181,0,1,
58,67.416,0,1,
59,67.949,1,1,
60,68.141,1,1,
61,68.376,1,1,
62,68.888,1,1,
63,69.123,1,1,
64,69.293,1,1,
65,69.507,1,1,
66,70.189,1,1,
67,70.360,1,1,
68,70.531,1,1,
69,70.744,0,1,
70,70.936,0,1,
71,71.107,0,1,
72,71.299,0,1,
73,71.917,0,1,
74,72.579,0,1,
75,72.792,0,1,
76,74.605,0,1,
77,74.840,0,1,
78,75.331,1,1,
79,75.480,1,1,
80,75.629,1,1,
81,75.800,1,1,
82,76.120,0,1,
83,76.333,0,1,
84,76.611,1,2,LongStart
85,77.123,1,2,LongEnd
86,77.507,0,1,
87,77.805,0,1,
88,78.616,1,1,
89,78.829,1,1,
90,79.021,1,1,
91,83.501,1,1,
92,83.651,1,1,
93,83.907,1,1,
94,85.592,1,1,
95,86.531,0,1,
96,87.107,0,1,
