Index,Time,Lane,Type,Note
1,3.968,0,1,
2,5.483,1,1,
3,5.675,0,1,
4,5.931,1,1,
5,6.080,0,1,
6,8.320,0,1,
7,8.661,0,1,
8,9.024,1,1,
9,9.451,0,1,
10,9.621,0,1,
11,9.877,1,1,
12,10.837,0,2,LongStart
13,11.563,0,2,LongEnd
14,12.288,1,2,LongStart
15,12.992,1,2,LongEnd
16,13.760,0,2,LongStart
17,14.443,0,2,LongEnd
18,16.085,1,1,
19,16.832,0,1,
20,17.621,1,1,
21,18.197,0,1,
22,19.157,0,1,
23,19.691,0,1,
24,20.032,1,1,
25,20.459,0,4,Both
26,20.821,0,4,Both
27,21.483,0,4,Both
28,22.187,0,1,
29,23.573,1,1,
30,25.131,0,4,Both
31,25.963,0,1,
32,26.517,1,1,
33,27.477,0,1,
34,28.245,1,1,
35,28.544,0,1,
36,28.821,1,1,
37,29.675,0,1,
38,30.016,0,1,
39,30.357,1,1,
40,30.528,1,1,
41,31.211,0,2,LongStart
42,31.957,0,2,LongEnd
43,32.021,1,2,LongStart
44,32.768,1,2,LongEnd
45,32.811,0,2,LongStart
46,32.981,0,2,LongEnd
47,34.709,1,3,Rush
48,36.245,1,3,Rush
49,37.696,1,1,
50,37.909,0,1,
51,38.080,1,1,
52,38.848,0,1,
53,39.424,0,2,LongStart
54,39.851,0,2,LongEnd
55,40.213,1,2,LongStart
56,40.853,1,2,LongEnd
57,41.557,1,1,
58,41.728,1,1,
59,41.941,0,1,
60,42.347,1,1,
61,42.539,0,2,LongStart
62,42.709,0,2,LongEnd
63,42.901,1,2,LongStart
64,43.499,1,2,LongEnd
65,43.669,0,2,LongStart
66,44.181,0,2,LongEnd
67,44.971,1,2,LongStart
68,45.461,1,2,LongEnd
69,45.845,0,2,LongStart
70,46.037,0,2,LongEnd
71,46.720,0,4,Both
72,47.637,0,4,Both
73,48.363,0,1,
74,48.597,1,3,Rush
75,50.965,1,3,Rush
76,52.949,1,1,
77,54.784,0,1,
78,55.829,1,1,
79,56.704,0,1,
80,57.643,1,1,
81,58.368,0,2,LongStart
82,58.688,0,2,LongEnd
83,58.816,1,2,LongStart
84,58.987,0,2,LongStart
85,59.243,1,2,LongEnd
86,59.648,0,2,LongEnd
87,60.416,1,2,LongStart
88,60.928,1,2,LongEnd
89,60.949,0,2,LongStart
90,61.611,0,2,LongEnd
91,61.653,1,2,LongStart
92,62.421,1,2,LongEnd
93,62.421,0,2,LongStart
94,62.848,0,2,LongEnd
95,63.189,1,1,
96,63.957,1,1,
97,64.683,0,1,
98,65.067,0,1,
99,65.429,0,1,
100,65.856,0,4,Both
101,67.349,0,4,Both
102,70.379,1,3,Rush
103,72.235,1,1,
104,72.405,0,1,
105,72.597,1,1,
106,72.811,0,1,
107,73.045,1,1,
108,73.237,0,1,
109,73.387,1,1,
110,73.600,0,1,
111,73.792,1,1,
112,73.941,0,1,
113,74.133,1,1,
114,74.304,0,1,
115,74.496,1,3,Rush
116,76.288,1,3,Rush
117,77.611,0,4,Both
118,78.443,0,4,Both
119,79.381,0,4,Both
120,80.064,1,2,LongStart
121,81.131,1,2,LongEnd
122,81.216,0,2,LongStart
123,82.539,0,2,LongEnd
