Index,Time,Lane,Type,Note
1,5.867,0,1,
2,7.040,1,1,
3,8.192,0,1,
4,8.597,1,1,
5,8.960,0,1,
6,9.365,1,1,
7,9.557,1,1,
8,9.984,0,1,
9,10.752,0,4,Both
10,11.584,0,1,
11,11.989,1,1,
12,12.160,0,1,
13,13.035,0,2,LongStart
14,14.123,0,2,LongEnd
15,14.315,1,2,LongStart
16,15.424,1,2,LongEnd
17,16.085,0,1,
18,16.875,1,1,
19,17.472,0,1,
20,17.664,0,1,
21,17.813,0,1,
22,18.027,1,1,
23,18.219,1,1,
24,19.136,0,1,
25,19.563,1,1,
26,19.733,1,1,
27,20.096,0,1,
28,20.800,0,1,
29,21.227,0,1,
30,21.397,1,1,
31,22.165,0,1,
32,22.955,0,1,
33,23.744,1,1,
34,24.512,1,1,
35,25.216,0,2,LongStart
36,25.963,0,2,LongEnd
37,26.005,1,2,LongStart
38,26.624,1,2,LongEnd
39,26.773,0,1,
40,27.499,0,1,
41,28.224,1,1,
42,28.608,1,1,
43,29.013,0,1,
44,29.355,0,1,
45,29.781,1,1,
46,30.144,1,1,
47,30.549,0,1,
48,30.912,0,1,
49,31.275,1,3,Rush
50,32.747,1,3,Rush
51,33.536,1,1,
52,33.728,0,1,
53,34.091,1,1,
54,34.304,1,1,
55,34.667,0,1,
56,34.837,0,1,
57,35.499,0,2,LongStart
58,36.693,0,2,LongEnd
59,36.864,1,2,LongStart
60,38.187,1,2,LongEnd
61,38.848,1,3,Rush
62,39.467,1,3,Rush
63,40.213,0,1,
64,40.555,1,1,
65,40.747,1,1,
66,40.960,0,1,
67,41.536,1,1,
68,41.728,1,1,
69,41.920,0,1,
70,42.261,0,4,Both
71,43.627,0,4,Both
72,43.797,0,4,Both
73,44.139,0,4,Both
74,44.971,1,1,
75,45.120,1,1,
76,45.376,0,3,Rush
77,45.547,0,3,Rush
78,45.653,0,3,Rush
79,45.952,1,1,
80,48.277,1,1,
81,48.512,1,1,
82,49.451,0,1,
83,51.008,0,1,
84,51.520,0,1,
85,52.373,1,1,
86,53.163,1,1,
87,54.144,0,1,
88,54.677,1,1,
89,55.061,1,1,
90,55.424,1,2,LongStart
91,56.427,1,2,LongEnd
92,57.067,0,2,LongStart
93,58.347,0,2,LongEnd
94,58.795,1,1,
95,58.944,1,1,
96,59.349,0,1,
97,60.864,0,4,Both
98,63.445,1,3,Rush
99,65.152,1,3,Rush
100,66.901,1,3,Rush
101,67.733,1,2,LongStart
102,68.757,1,2,LongEnd
103,69.248,0,2,LongStart
104,69.824,0,2,LongEnd
105,69.995,1,1,
106,70.208,1,1,
107,70.379,1,1,
108,70.549,1,1,
109,70.827,0,1,
110,71.573,0,1,
111,72.320,1,1,
112,72.704,1,1,
113,73.109,1,1,
114,73.813,1,1,
115,74.176,1,1,
116,74.603,0,1,
117,74.773,0,1,
118,74.923,0,1,
119,75.093,0,1,
120,75.861,0,4,Both
121,76.693,0,4,Both
122,77.696,0,4,Both
123,78.400,1,1,
124,78.869,0,1,
125,79.531,1,2,LongStart
126,80.811,1,2,LongEnd
127,81.109,0,2,LongStart
128,82.432,0,2,LongEnd
129,83.029,0,4,Both
130,84.907,0,4,Both
