Index,Time,Lane,Type,Note
1,38.744,0,1,
2,39.448,0,1,
3,39.661,0,1,
4,39.917,0,1,
5,40.152,0,1,
6,41.944,1,1,
7,42.093,1,1,
8,42.285,1,1,
9,42.563,1,1,
10,42.776,1,1,
11,44.992,0,1,
12,46.997,0,1,
13,48.149,0,1,
14,48.747,0,1,
15,49.152,0,1,
16,49.515,0,2,LongStart
17,49.856,0,2,LongEnd
18,50.176,0,2,LongStart
19,50.453,0,2,LongEnd
20,51.968,1,1,
21,52.544,1,1,
22,52.992,1,1,
23,53.845,1,1,
24,54.016,1,1,
25,54.208,1,1,
26,54.976,1,1,
27,55.147,1,1,
28,55.317,1,1,
29,55.573,1,3,Rush
30,55.915,1,3,Rush
31,56.085,1,3,Rush
32,56.533,1,3,Rush
33,57.003,1,1,
34,57.600,0,3,Rush
35,57.941,0,3,Rush
36,58.091,0,3,Rush
37,58.240,0,3,Rush
38,58.389,0,3,Rush
39,58.560,0,3,Rush
40,58.795,0,1,
41,58.987,0,1,
42,59.136,0,1,
43,59.285,0,1,
44,59.435,0,1,
45,59.584,0,2,LongStart
46,60.608,0,2,LongEnd
47,60.821,1,3,Rush
48,60.928,1,3,Rush
49,61.035,1,3,Rush
50,61.632,1,1,
51,62.251,1,1,
52,62.421,1,1,
53,62.592,1,1,
54,62.976,1,1,
55,63.317,1,1,
56,63.765,0,1,
57,64.064,0,1,
58,64.661,0,1,
59,64.875,0,1,
60,65.109,0,1,
61,65.280,0,1,
62,67.093,0,1,
63,67.435,0,1,
64,68.096,0,1,
65,68.416,0,1,
66,69.077,0,1,
67,69.675,1,1,
68,69.845,1,1,
69,70.016,1,1,
70,70.165,1,1,
